puhoc ,prefLabel ,ysoLinkLab ,ysoBroaderLab 
http://www.yso.fi/onto/puho/ph1037 ,historia ,tieteet (erikoisalat) ,järjestelmät 
http://www.yso.fi/onto/puho/ph1037 ,historia ,tieteet (erikoisalat) ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1038 ,sotahistoria ,historia ,järjestelmät 
http://www.yso.fi/onto/puho/ph1038 ,sotahistoria ,historia ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph104 ,sähkötekniikka ,tekniikka (tieteet) ,järjestelmät 
http://www.yso.fi/onto/puho/ph104 ,sähkötekniikka ,tekniikka (tieteet) ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1047 ,massamuistit ,muistit (tietotekniikka) ,atk-laitteet 
http://www.yso.fi/onto/puho/ph105 ,tekniikka ,tieteet (erikoisalat) ,järjestelmät 
http://www.yso.fi/onto/puho/ph105 ,tekniikka ,tieteet (erikoisalat) ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1077 ,analyyttinen kemia ,kemia ,järjestelmät 
http://www.yso.fi/onto/puho/ph1077 ,analyyttinen kemia ,kemia ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1078 ,kemia ,luonnontieteet ,järjestelmät 
http://www.yso.fi/onto/puho/ph1078 ,kemia ,luonnontieteet ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1101 ,hydrodynamiikka ,dynamiikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph1101 ,hydrodynamiikka ,hydromekaniikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph1101 ,hydrodynamiikka ,dynamiikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1101 ,hydrodynamiikka ,hydromekaniikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1131 ,perävaunut ,vaunut ,kuljetusvälineet 
http://www.yso.fi/onto/puho/ph1131 ,perävaunut ,vaunut ,välineet 
http://www.yso.fi/onto/puho/ph1136 ,lentotekniikka ,tekniikka (tieteet) ,järjestelmät 
http://www.yso.fi/onto/puho/ph1136 ,lentotekniikka ,tekniikka (tieteet) ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1149 ,ravitsemus ,biologiset ilmiöt ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph1153 ,hankinta ,omistuksen siirtäminen ,keskinäinen toiminta 
http://www.yso.fi/onto/puho/ph116 ,moraali ,kulttuuriset ilmiöt ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph116 ,moraali ,kulttuuriset ilmiöt ,yhteiskunnalliset ilmiöt 
http://www.yso.fi/onto/puho/ph1180 ,työmotivaatio ,motivaatio ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph1180 ,työmotivaatio ,motivaatio ,mentaaliset objektit 
http://www.yso.fi/onto/puho/ph1201 ,sotilasmusiikki ,musiikki ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph1201 ,sotilasmusiikki ,musiikki ,esittävät taiteet 
http://www.yso.fi/onto/puho/ph1201 ,sotilasmusiikki ,musiikki ,kulttuuriset objektit 
http://www.yso.fi/onto/puho/ph1205 ,julkinen hallinto ,hallinto ,järjestelmät 
http://www.yso.fi/onto/puho/ph1205 ,julkinen hallinto ,hallinto ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1215 ,ammattitaudit ,taudit ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph1217 ,maanpetos ,valtiorikokset ,oikeudelliset tapahtumat 
http://www.yso.fi/onto/puho/ph1217 ,maanpetos ,valtiorikokset ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph1218 ,valtiorikokset ,rikokset ,oikeudelliset tapahtumat 
http://www.yso.fi/onto/puho/ph1218 ,valtiorikokset ,rikokset ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph1219 ,valtiopetos ,valtiorikokset ,oikeudelliset tapahtumat 
http://www.yso.fi/onto/puho/ph1219 ,valtiopetos ,valtiorikokset ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph123 ,optiikka ,fysiikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph123 ,optiikka ,fysiikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1231 ,taloushallinto ,hallinto ,järjestelmät 
http://www.yso.fi/onto/puho/ph1231 ,taloushallinto ,hallinto ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1242 ,kuntotestit ,testit ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph1256 ,lääketiede ,soveltavat tieteet ,järjestelmät 
http://www.yso.fi/onto/puho/ph1256 ,lääketiede ,soveltavat tieteet ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1262 ,matematiikka ,käsitteelliset tieteet ,järjestelmät 
http://www.yso.fi/onto/puho/ph1262 ,matematiikka ,käsitteelliset tieteet ,yhteiskunnalliset järjestelmät 
